sent_id,word_id,token,cpostag,postag,head,deprel,deps,parent_token,parent_deprel,stem_pos,parent_stem,parent_stem_pos
23,4,frilly,ADV,RB,5,advmod,4:advmod|5:amod,sleeping,amod,frilly_advmod,sleeping,sleeping_amod
23,5,sleeping,VERB,VBG,6,amod,5:amod|6:dobj,cap,dobj,sleeping_amod,cap,cap_dobj
23,6,cap,NOUN,NN,2,dobj,6:dobj|2:ROOT,added,ROOT,cap_dobj,added,added_ROOT
23,8,and,CONJ,CC,2,cc,8:cc|2:ROOT,added,ROOT,and_cc,added,added_ROOT
23,9,for,ADP,IN,13,prep,9:prep|13:conj,dabbed,conj,for_prep,dabbed,dabbed_conj
23,10,good,ADJ,JJ,11,amod,10:amod|11:pobj,measure,pobj,good_amod,measure,measure_pobj
23,11,measure,NOUN,NN,9,pobj,11:pobj|9:prep,for,prep,measure_pobj,for,for_prep
23,13,dabbed,VERB,VBD,2,conj,13:conj|2:ROOT,added,ROOT,dabbed_conj,added,added_ROOT
23,14,some,DET,DT,13,dobj,14:dobj|13:conj,dabbed,conj,some_dobj,dabbed,dabbed_conj
23,15,of,ADP,IN,14,prep,15:prep|14:dobj,some,dobj,of_prep,some,some_dobj
23,16,granny,NOUN,NNP,18,poss,16:poss|18:pobj,perfume,pobj,granny_poss,perfume,perfume_pobj
23,17,'s,PRT,POS,16,possessive,17:possessive|16:poss,Granny,poss,'s_possessive,Granny,Granny_poss
23,18,perfume,NOUN,NN,15,pobj,18:pobj|15:prep,of,prep,perfume_pobj,of,of_prep
23,19,behind,ADP,IN,13,prep,19:prep|13:conj,dabbed,conj,behind_prep,dabbed,dabbed_conj
23,20,his,PRON,PRP$,22,poss,20:poss|22:pobj,ears,pobj,his_poss,ears,ears_pobj
23,21,pointy,ADJ,JJ,22,amod,21:amod|22:pobj,ears,pobj,pointy_amod,ears,ears_pobj
23,22,ears,NOUN,NNS,19,pobj,22:pobj|19:prep,behind,prep,ears_pobj,behind,behind_prep
24,1,a,DET,DT,3,det,1:det|3:npadvmod,minutes,npadvmod,a_det,minutes,minutes_npadvmod
24,2,few,ADJ,JJ,3,amod,2:amod|3:npadvmod,minutes,npadvmod,few_amod,minutes,minutes_npadvmod
24,3,minutes,NOUN,NNS,4,npadvmod,3:npadvmod|4:advmod,later,advmod,minutes_npadvmod,later,later_advmod
24,4,later,ADV,RB,9,advmod,4:advmod|9:ROOT,knocked,ROOT,later_advmod,knock,knocked_ROOT
24,6,red,NOUN,NNP,8,nn,6:nn|8:nsubj,Hood,nsubj,red_nn,Hood,Hood_nsubj
24,7,riding,NOUN,NNP,8,nn,7:nn|8:nsubj,Hood,nsubj,riding_nn,Hood,Hood_nsubj
